a433-microservices-item-db-1  | 2023-09-16T08:05:26.056+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=df6d8f21309f
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] db version v3.6.23
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] allocator: tcmalloc
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] modules: none
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] build environment:
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten]     distarch: x86_64
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten]     target_arch: x86_64
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I STORAGE  [initandlisten] 
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
a433-microservices-item-db-1  | 2023-09-16T08:05:26.057+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
